"Using Containers on Rivanna","2022/09/15","https://cal.hsl.virginia.edu/event/9532749","Ruoshi Sun, Gladys Andino"
"Introduction to Multicore Processing with R","2022/09/22","https://cal.lib.virginia.edu/event/9534575","Jacalyn Huband"
"Introduction to Shiny Apps","2022/09/26","https://cal.lib.virginia.edu/event/9534777","Christina Gancayco"
"Data Transfer -- How to use Globus","2022/09/29","https://cal.hsl.virginia.edu/event/9532704","Ed Hall, Christina Gancayco"
"Building Containers for Rivanna","2022/09/30","https://cal.hsl.virginia.edu/event/9532778","Ruoshi Sun"
"Customizing Shiny Apps","2022/10/10","https://cal.lib.virginia.edu/event/9534969","Christina Gancayco"
"Parallel Matlab on Rivanna","2022/10/13","https://cal.lib.virginia.edu/event/9534376","Ed Hall"
"GPU-Enabled Applications on Rivanna","2022/10/20","https://cal.lib.virginia.edu/event/9534448","Ruoshi Sun, Ed Hall, Jacalyn Huband, Christina Gancayco"
"Scientific Image Processing with Python","2022/10/27","https://cal.hsl.virginia.edu/event/9544203","Karsten Siller"
"Using Rivanna from the Command Line","2023/02/01","https://cal.lib.virginia.edu/event/10090539","Ahmad Sheikhzada, Gladys Andino"
"Data Transfer with Globus","2023/02/02","https://cal.lib.virginia.edu/event/10090631","Ed Hall, Christina Gancayco"
"Using Containers on Rivanna","2023/02/06","https://cal.lib.virginia.edu/event/10090580","Ruoshi Sun"
"R Environment Management","2023/02/09","https://cal.lib.virginia.edu/event/10090465","Jacalyn Huband, Gladys Andino"
"Compiling and running C/C++/Fortran on Rivanna","2023/03/01","https://cal.lib.virginia.edu/event/10090665","Katherine Holcomb"
"Making R Run Faster on Rivanna","2023/03/16","https://cal.lib.virginia.edu/event/10090557","Jacalyn Huband"
